eCalc  -  Propeller Calculator                    all data without guarantee - Accuracy:  /-15%


Project Name;;super_heavy_4000g_plane;

Battery;;custom;
Configuration:;;16S7P;
Load:;C;6.98;
Voltage:;V;12.65;
Rated Voltage:;V;16.00;
Energy:;Wh;280;
Total Capacity:;mAh;17500;
max. discharge:;;85%;
Used Capacity:;mAh;14875;
min. Flight Time:;min;7.3;
Mixed Flight Time:;min;8.1;
Weight:;g;3584;
;oz;126.4;


Controller;;CC Phoenix Edge 100;
Current:;A cont.;100;
;A max;100;
Weight:;g;127;
;oz;4.5;
Wire extension battery:;;AWG10=5.27mm²;
Length:;mm;0;
;inch;0;
Wire extension motor:;;AWG14=2.08mm²;
Length:;mm;152.4;
;inch;6;


Motor @ Maximum;;ARC 36-55-2.5 (1150);
Gear Ratio:;: 1;1;
Weight:;g;234;
;oz;8.3;
Current:;A;61.05;
Voltage:;V;12.13;
Revolutions*:;rpm;11142;
electric Power:;W;740.3;
mech. Power:;W;595.2;
Efficiency:;%;80.4;
est. Temperature:;°C;78;
;°F;172;


Propeller
Propeller;;Graupner CAM Slim Prop (0°)  11" x 7";
# Blades:;;2;
Static Thrust:;g;2987;
;oz;105.4;
Revolutions*:;rpm;11142;
Stall Thrust:;g;1835;
;oz;64.7;
avail.Thrust @ Flight Speed:;g@km/h;726 @ 90;
;oz@mph;25.6 @ 55.9;
Pitch Speed:;km/h;119;
;mph;74;
specific Thrust:;g/W;4.03;
;oz/W;0.14;


Total Drive;;
Drive Weight:;g;4737;
;oz;167.1;
Power-Weight:;W/kg;166;
;W/lb;75;
Thrust-Weight:;: 1;0.51;
Current @ max:;A;122.09;
P(in) @ max:;W;1953.5;
P(out) @ max:;W;1190.4;
Efficiency @ max:;%;60.9;


Airplane
# of Motors:;;2;
All-up Weight:;g;11737;
;oz;414;
Wing Area:;;82;
Wing Load:;g/dm²;143;
;oz/ft²;46.9;
Cubic Wing Load:;;15.8;
est. Stall Speed:;km/h;58;
;mph;36;
est. Speed (level):;km/h;106;
;mph;66;
est. Speed (vertical):;km/h;-;
;mph;-;
est. rate of climb:;m/s;6.3;
;ft/min;1239;


Remarks:;;0;

Statement for using this calculator: All values are calculated and may deviate from the real. Before flight you have to recheck the actual max. values. All max. values must stay within the limits of the manufacturers. A commercial use is forbidden. We reject any liability! 

(c) by Solution for All   -   7.10, 09.10.17
