eCalc  -  Propeller Calculator                    all data without guarantee - Accuracy:  /-15%


Project Name;;2500g__4156g;

Battery;;custom;
Configuration:;;9S8P;
Load:;C;6.78;
Voltage:;V;7.83;
Rated Voltage:;V;9.00;
Energy:;Wh;115.2;
Total Capacity:;mAh;12800;
max. discharge:;;85%;
Used Capacity:;mAh;10880;
min. Flight Time:;min;7.5;
Mixed Flight Time:;min;10.1;
Weight:;g;1656;
;oz;58.4;


Controller;;max 60A;
Current:;A cont.;60;
;A max;60;
Weight:;g;80;
;oz;2.8;
Wire extension battery:;;AWG10=5.27mm²;
Length:;mm;0;
;inch;0;
Wire extension motor:;;AWG14=2.08mm²;
Length:;mm;152.4;
;inch;6;


Motor @ Maximum;;Hacker A30-12M-V3 (1370);
Gear Ratio:;: 1;1;
Weight:;g;104;
;oz;3.7;
Current:;A;43.40;
Voltage:;V;7.52;
Revolutions*:;rpm;8512;
electric Power:;W;326.4;
mech. Power:;W;266.3;
Efficiency:;%;81.6;
est. Temperature:;°C;62;
;°F;144;


Propeller
Propeller;;Graupner CAM Slim Prop (0°)  11" x 7";
# Blades:;;2;
Static Thrust:;g;1743;
;oz;61.5;
Revolutions*:;rpm;8512;
Stall Thrust:;g;1071;
;oz;37.8;
avail.Thrust @ Flight Speed:;g@km/h;16 @ 90;
;oz@mph;0.6 @ 55.9;
Pitch Speed:;km/h;91;
;mph;57;
specific Thrust:;g/W;5.34;
;oz/W;0.19;


Total Drive;;
Drive Weight:;g;2226;
;oz;78.5;
Power-Weight:;W/kg;165;
;W/lb;75;
Thrust-Weight:;: 1;0.74;
Current @ max:;A;86.81;
P(in) @ max:;W;781.3;
P(out) @ max:;W;532.5;
Efficiency @ max:;%;68.2;


Airplane
# of Motors:;;2;
All-up Weight:;g;4726;
;oz;166.7;
Wing Area:;;82;
Wing Load:;g/dm²;58;
;oz/ft²;19;
Cubic Wing Load:;;6.4;
est. Stall Speed:;km/h;37;
;mph;23;
est. Speed (level):;km/h;81;
;mph;50;
est. Speed (vertical):;km/h;-;
;mph;-;
est. rate of climb:;m/s;5.9;
;ft/min;1158;


Remarks:;;0;

Statement for using this calculator: All values are calculated and may deviate from the real. Before flight you have to recheck the actual max. values. All max. values must stay within the limits of the manufacturers. A commercial use is forbidden. We reject any liability! 

(c) by Solution for All   -   7.10, 09.10.17
